Original Value,Mapped Category
Aleef Garages,Other Petrol Retailers
Anamark,Other
Appleby Westwood,Other
Applegreen Stores,Other Petrol Retailers
Ascona,Other Petrol Retailers
Asda Express,Asda
Asda Forecourts,Asda
Asda Living,Asda
Asda Netto,Asda
Asda Superstores,Asda
BP Connect,BP
BP Dealer Sites,BP
BP Express Shopping,BP
BP M&S Simply Food,Marks & Spencer
Bailey News,Independents
Blakemore Retail Independents,Independents
Booths,Booths
Botterils,Other Petrol Retailers
Bourne Leisure,Center Parcs / Haven / Bourne Leisure
Brittany Ferries,Center Parcs / Haven / Bourne Leisure
CDC Buying Group,Other Multiples / Groups
Capital News (Vapgate),Other Multiples / Groups
Caterleisure,Other
Center Parcs,Center Parcs / Haven / Bourne Leisure
Claverly Group (Star News),Other Multiples / Groups
Compass,Compass
Compass Granada Motorway Services,Compass
Conviviality T/A Bargain Booze,Other Multiples / Groups
Coop Alldays,Co-op
Coop Group (CWS),Co-op
Coop Retail Group,Co-op
Coop Scotmid Morning Noon & Night,Co-op
Costcutter,Costcutter
Devlins,Other
EG on the move,Euro Garages
Esso,Esso
Esso Roc Petroleum,Esso
Euro Garages,Euro Garages
Gillets,Other
Goldings,Other
Greens,Other
HKS Garages,Other Petrol Retailers
Haven Leisure,Center Parcs / Haven / Bourne Leisure
ISS Mediclean Ltd T/A ISS Facility,Other
Independent,Independents
James Hall Independents,Independents
James Retail,Other
Lidl,Lidl
M Daily,McColls
MMRG CTN,McColls
MMRG Convenience,McColls
MMRG Express / Metro,McColls
MMRG High Street,McColls
MMRG Neighbourhood Convenience / Village,McColls
MMRG Neighbourhood Newsagent,McColls
MRH Retail,Other
Mace,Other
Marks & Spencers,Marks & Spencer
Maxol,Other
Mills,Other
Morrisons,Morrisons
Morrisons Petrol,Morrisons
Morrisons Safeway Forecourts,Morrisons
Morrisons Safeway Supermarkets,Morrisons
Motor Fuel Solutions,Other
Murco,Other
Musgrave Budgens,Musgrave
Musgrave Centra,Musgrave
Musgrave Londis,Musgrave
News Plus,Other
Newsteam Group,Other
Nisa,Other
North East Convenience Stores,Other
Northcliffe News,Other
Parks Garages,Other
Petrogas UK T/A Applegreen,Other Petrol Retailers
Plue News Forecourt,Other
Plus News Convenience,Other
Prime Garages,Other
Q8,Other
Rontec Uk - Symbol Stores,Other
Sainsbury Convenience,Sainsbury's
Sainsbury Forecourts,Sainsbury's
Sainsbury Supermarkets,Sainsbury's
Save Service Stations,Other
Select Services,Other
Shell Select,Other
Smith WH (High Street - Stores),WHSmith
Smith WH (Travel - Hospital),WHSmith
Smith WH (Travel - Mainline),WHSmith
Smith WH (Travel - Provincial),WHSmith
Smith WH (Travel - Underground),WHSmith
Smith WH (Travel - Work Format),WHSmith
Smith WH (Travel Motorway Forecourts),WHSmith
Smith Wh (Travel - Airports),WHSmith
Snax 24,Other
Sodexho,Other
Spar,Spar
Spar CJ Lang,Spar
Spar Hendersons,Spar
Spar James Hall,Spar
Spring Petroleum Stores,Other
Stena Line Ferries,Other
Tates,Other
Tesco Express,Tesco
Tesco Extra,Tesco
Tesco Forecourts,Tesco
Tesco Metro,Tesco
Tesco Supermarkets,Tesco
Tesco T&S (One Stop),Tesco
The Local - SEP Stores,Other
Thresher,Other
Total,Other
UNKNOWN,Other
V G Stores,Other
WHS T Moto Services,WHSmith
Waitrose,Waitrose
Waitrose Convenience,Waitrose
Waitrose Petrol,Waitrose
Warners Holidays,Other
Welcome Break Forecourts,Other
Wilson J&J,Other
Wine Cellar,Other
Womens Royal Voluntary Service,Other
